occurrence_date,report_date,report_year,neighbourhood_name,premises_type,status
2016-08-05T00:00:00Z,2016-12-14T00:00:00Z,2016,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2017-02-27T00:00:00Z,2017-02-28T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Educational,STOLEN
2017-02-27T00:00:00Z,2017-03-01T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2015-01-07T00:00:00Z,2017-03-17T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-05-03T00:00:00Z,2017-05-15T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-05-20T00:00:00Z,2017-05-21T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
2017-05-18T00:00:00Z,2017-05-23T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2016-09-01T00:00:00Z,2017-06-07T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-06-27T00:00:00Z,2017-06-28T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,RECOVERED
2018-07-06T00:00:00Z,2018-07-06T00:00:00Z,2018,Danforth (66),Transit,STOLEN
2017-06-28T00:00:00Z,2017-06-29T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-06-24T00:00:00Z,2017-06-28T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
2017-07-10T00:00:00Z,2017-07-10T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2017-07-09T00:00:00Z,2017-07-16T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-08-06T00:00:00Z,2017-08-06T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
2017-08-05T00:00:00Z,2017-08-12T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-08-04T00:00:00Z,2017-08-14T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2017-08-04T00:00:00Z,2017-08-14T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2017-08-18T00:00:00Z,2017-08-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
